chrom,IID,phase_N50,group,sex,replicate
chr2,BH84,38591,linked-read,male,no
chr8,BH84,27233,linked-read,male,no
chrZ,BH84,22971,linked-read,male,no
chr2,BR01,157747,linked-read,male,no
chr8,BR01,135603,linked-read,male,no
chrZ,BR01,64270,linked-read,male,no
chr2,BR02,175167,linked-read,female,no
chr8,BR02,146698,linked-read,female,no
chrZ,BR02,17710,linked-read,female,no
chr2,BR03,147029,linked-read,female,no
chr8,BR03,125747,linked-read,female,no
chrZ,BR03,20143,linked-read,female,no
chr2,BR04,122636,linked-read,female,no
chr8,BR04,88385,linked-read,female,no
chrZ,BR04,15807,linked-read,female,no
chr2,BR05,136256,linked-read,male,no
chr8,BR05,126023,linked-read,male,no
chrZ,BR05,44384,linked-read,male,no
chr2,BT01,2150,short-read,male,no
chr8,BT01,1757,short-read,male,no
chrZ,BT01,1574,short-read,male,no
chr2,BT02,42966,linked-read,female,no
chr8,BT02,38709,linked-read,female,no
chrZ,BT02,17396,linked-read,female,no
chr2,BT03,29695,linked-read,male,no
chr8,BT03,27817,linked-read,male,no
chrZ,BT03,24905,linked-read,male,no
chr2,BT04,19565,linked-read,female,no
chr8,BT04,19515,linked-read,female,no
chrZ,BT04,10749,linked-read,female,no
chr2,BT05,131315,linked-read,female,no
chr8,BT05,119393,linked-read,female,no
chrZ,BT05,23778,linked-read,female,no
chr2,BT07,221214,linked-read,female,no
chr8,BT07,202597,linked-read,female,no
chrZ,BT07,30635,linked-read,female,no
chr2,BT08,53090,linked-read,male,no
chr8,BT08,49770,linked-read,male,no
chrZ,BT08,33095,linked-read,male,no
chr2,BT09,52215,linked-read,male,no
chr8,BT09,45273,linked-read,male,no
chrZ,BT09,30804,linked-read,male,no
chr2,BT102,3056,linked-read,female,no
chr8,BT102,3053,linked-read,female,no
chrZ,BT102,2793,linked-read,female,no
chr2,BT103,17194,linked-read,female,no
chr8,BT103,16434,linked-read,female,no
chrZ,BT103,9877,linked-read,female,no
chr2,BT104,7894,linked-read,male,no
chr8,BT104,7458,linked-read,male,no
chrZ,BT104,7779,linked-read,male,no
chr2,BT105,6721,linked-read,female,no
chr8,BT105,6579,linked-read,female,no
chrZ,BT105,6023,linked-read,female,no
chr2,BT106,23858,linked-read,female,no
chr8,BT106,21659,linked-read,female,no
chrZ,BT106,12467,linked-read,female,no
chr2,BT108,6779,linked-read,male,no
chr8,BT108,6792,linked-read,male,no
chrZ,BT108,6879,linked-read,male,no
chr2,BT110,14905,linked-read,male,no
chr8,BT110,14034,linked-read,male,no
chrZ,BT110,14071,linked-read,male,no
chr2,BT111,14750,linked-read,male,no
chr8,BT111,13683,linked-read,male,no
chrZ,BT111,13789,linked-read,male,no
chr2,BT112,25847,linked-read,male,no
chr8,BT112,22926,linked-read,male,no
chrZ,BT112,19766,linked-read,male,no
chr2,BT114,5128,linked-read,female,no
chr8,BT114,5180,linked-read,female,no
chrZ,BT114,4546,linked-read,female,no
chr2,BT120,7644,linked-read,female,no
chr8,BT120,7596,linked-read,female,no
chrZ,BT120,6173,linked-read,female,no
chr2,BT121,3138,linked-read,female,no
chr8,BT121,3665,linked-read,female,no
chrZ,BT121,3291,linked-read,female,no
chr2,BT122,4987,linked-read,male,no
chr8,BT122,4841,linked-read,male,no
chrZ,BT122,4900,linked-read,male,no
chr2,BT123,3294,linked-read,male,no
chr8,BT123,3419,linked-read,male,no
chrZ,BT123,3850,linked-read,male,no
chr2,BT129,4392,linked-read,female,no
chr8,BT129,4368,linked-read,female,no
chrZ,BT129,4385,linked-read,female,no
chr2,BT135,4053,linked-read,male,no
chr8,BT135,4240,linked-read,male,no
chrZ,BT135,4310,linked-read,male,no
chr2,BT15,164885,linked-read,female,no
chr8,BT15,117499,linked-read,female,no
chrZ,BT15,27858,linked-read,female,no
chr2,BT179,5207,linked-read,unknown,no
chr8,BT179,5353,linked-read,unknown,no
chrZ,BT179,4922,linked-read,unknown,no
chr2,BT18,170137,linked-read,male,no
chr8,BT18,167669,linked-read,male,no
chrZ,BT18,51040,linked-read,male,no
chr2,BT180,4370,linked-read,unknown,no
chr8,BT180,4477,linked-read,unknown,no
chrZ,BT180,4450,linked-read,unknown,no
chr2,BT181,4921,linked-read,male,no
chr8,BT181,4929,linked-read,male,no
chrZ,BT181,4677,linked-read,male,no
chr2,BT182,6026,linked-read,male,no
chr8,BT182,6344,linked-read,male,no
chrZ,BT182,6313,linked-read,male,no
chr2,BT183,6184,linked-read,male,no
chr8,BT183,6134,linked-read,male,no
chrZ,BT183,6672,linked-read,male,no
chr2,BT185,17349,linked-read,female,no
chr8,BT185,16620,linked-read,female,no
chrZ,BT185,10595,linked-read,female,no
chr2,BT186,2692,linked-read,female,no
chr8,BT186,3141,linked-read,female,no
chrZ,BT186,3391,linked-read,female,no
chr2,BT187,6721,linked-read,male,no
chr8,BT187,6361,linked-read,male,no
chrZ,BT187,6876,linked-read,male,no
chr2,BT19,28918,linked-read,male,no
chr8,BT19,27975,linked-read,male,no
chrZ,BT19,22273,linked-read,male,no
chr2,BT191,16305,linked-read,female,no
chr8,BT191,15055,linked-read,female,no
chrZ,BT191,10460,linked-read,female,no
chr2,BT196,6316,linked-read,female,no
chr8,BT196,6352,linked-read,female,no
chrZ,BT196,5740,linked-read,female,no
chr2,BT197,13416,linked-read,male,no
chr8,BT197,12951,linked-read,male,no
chrZ,BT197,12373,linked-read,male,no
chr2,BT198,13009,linked-read,female,no
chr8,BT198,12698,linked-read,female,no
chrZ,BT198,8495,linked-read,female,no
chr2,BT199,4666,linked-read,male,no
chr8,BT199,4710,linked-read,male,no
chrZ,BT199,4941,linked-read,male,no
chr2,BT20,9463,linked-read,male,no
chr8,BT20,9570,linked-read,male,no
chrZ,BT20,10009,linked-read,male,no
chr2,BT200,3882,linked-read,female,no
chr8,BT200,4185,linked-read,female,no
chrZ,BT200,3734,linked-read,female,no
chr2,BT202,4954,linked-read,male,no
chr8,BT202,4812,linked-read,male,no
chrZ,BT202,5311,linked-read,male,no
chr2,BT204,10083,linked-read,female,no
chr8,BT204,10604,linked-read,female,no
chrZ,BT204,7476,linked-read,female,no
chr2,BT205,13202,linked-read,male,no
chr8,BT205,13462,linked-read,male,no
chrZ,BT205,12443,linked-read,male,no
chr2,BT206,17309,linked-read,male,no
chr8,BT206,16306,linked-read,male,no
chrZ,BT206,14151,linked-read,male,no
chr2,BT21,14780,linked-read,female,no
chr8,BT21,14430,linked-read,female,no
chrZ,BT21,11014,linked-read,female,no
chr2,BT213,6771,linked-read,female,no
chr8,BT213,6717,linked-read,female,no
chrZ,BT213,5548,linked-read,female,no
chr2,BT214,8629,linked-read,male,no
chr8,BT214,8743,linked-read,male,no
chrZ,BT214,8682,linked-read,male,no
chr2,BT215,8880,linked-read,male,no
chr8,BT215,8727,linked-read,male,no
chrZ,BT215,9103,linked-read,male,no
chr2,BT217,6511,linked-read,male,no
chr8,BT217,6310,linked-read,male,no
chrZ,BT217,6635,linked-read,male,no
chr2,BT221,21778,linked-read,female,no
chr8,BT221,22377,linked-read,female,no
chrZ,BT221,10250,linked-read,female,no
chr2,BT222,9070,linked-read,male,no
chr8,BT222,8925,linked-read,male,no
chrZ,BT222,9211,linked-read,male,no
chr2,BT223,18539,linked-read,female,no
chr8,BT223,16745,linked-read,female,no
chrZ,BT223,9945,linked-read,female,no
chr2,BT224,10354,linked-read,female,no
chr8,BT224,10324,linked-read,female,no
chrZ,BT224,8552,linked-read,female,no
chr2,BT225,14547,linked-read,female,no
chr8,BT225,14877,linked-read,female,no
chrZ,BT225,9917,linked-read,female,no
chr2,BT226,9317,linked-read,female,no
chr8,BT226,8949,linked-read,female,no
chrZ,BT226,7163,linked-read,female,no
chr2,BT228,9994,linked-read,male,no
chr8,BT228,9757,linked-read,male,no
chrZ,BT228,10136,linked-read,male,no
chr2,BT229,18405,linked-read,female,no
chr8,BT229,17823,linked-read,female,no
chrZ,BT229,12733,linked-read,female,no
chr2,BT233,3995,linked-read,female,no
chr8,BT233,3866,linked-read,female,no
chrZ,BT233,3932,linked-read,female,no
chr2,BT235,3210,linked-read,male,no
chr8,BT235,3556,linked-read,male,no
chrZ,BT235,3897,linked-read,male,no
chr2,BT236,2757,linked-read,female,no
chr8,BT236,2919,linked-read,female,no
chrZ,BT236,2657,linked-read,female,no
chr2,BT238,2092,linked-read,male,no
chr8,BT238,2233,linked-read,male,no
chrZ,BT238,2376,linked-read,male,no
chr2,BT240,3573,linked-read,female,no
chr8,BT240,3807,linked-read,female,no
chrZ,BT240,3305,linked-read,female,no
chr2,BT29,1729,short-read,male,no
chr8,BT29,1426,short-read,male,no
chrZ,BT29,2335,short-read,male,no
chr2,BT361,7464,linked-read,female,no
chr8,BT361,7016,linked-read,female,no
chrZ,BT361,6148,linked-read,female,no
chr2,BT44,5207,linked-read,male,no
chr8,BT44,4885,linked-read,male,no
chrZ,BT44,5315,linked-read,male,no
chr2,BT47,7573,linked-read,female,no
chr8,BT47,7177,linked-read,female,no
chrZ,BT47,6454,linked-read,female,no
chr2,BT49,7981,linked-read,male,no
chr8,BT49,7568,linked-read,male,no
chrZ,BT49,8072,linked-read,male,no
chr2,BT51,10698,linked-read,unknown,no
chr8,BT51,9969,linked-read,unknown,no
chrZ,BT51,8240,linked-read,unknown,no
chr2,BT55,10873,linked-read,male,no
chr8,BT55,10686,linked-read,male,no
chrZ,BT55,10599,linked-read,male,no
chr2,BT57,4659,linked-read,female,no
chr8,BT57,4648,linked-read,female,no
chrZ,BT57,4750,linked-read,female,no
chr2,BT61,5317,linked-read,female,no
chr8,BT61,5325,linked-read,female,no
chrZ,BT61,4767,linked-read,female,no
chr2,BT69,13071,linked-read,male,no
chr8,BT69,12534,linked-read,male,no
chrZ,BT69,12666,linked-read,male,no
chr2,BT70,8268,linked-read,female,no
chr8,BT70,8350,linked-read,female,no
chrZ,BT70,7379,linked-read,female,no
chr2,BT80,15640,linked-read,male,no
chr8,BT80,14716,linked-read,male,no
chrZ,BT80,14175,linked-read,male,no
chr2,BT81,19691,linked-read,male,no
chr8,BT81,19157,linked-read,male,no
chrZ,BT81,17667,linked-read,male,no
chr2,BT84,12767,linked-read,female,no
chr8,BT84,12217,linked-read,female,no
chrZ,BT84,8949,linked-read,female,no
chr2,BT85,16346,linked-read,female,no
chr8,BT85,15220,linked-read,female,no
chrZ,BT85,10145,linked-read,female,no
chr2,BT86,10564,linked-read,female,no
chr8,BT86,9900,linked-read,female,no
chrZ,BT86,7998,linked-read,female,no
chr2,BT88,8862,linked-read,male,no
chr8,BT88,9492,linked-read,male,no
chrZ,BT88,9125,linked-read,male,no
chr2,BT93,6878,linked-read,male,no
chr8,BT93,6697,linked-read,male,no
chrZ,BT93,7043,linked-read,male,no
chr2,CH01,23983,linked-read,male,no
chr8,CH01,22597,linked-read,male,no
chrZ,CH01,20926,linked-read,male,no
chr2,CH02,13424,linked-read,male,no
chr8,CH02,13099,linked-read,male,no
chrZ,CH02,12771,linked-read,male,no
chr2,CH03,19707,linked-read,female,no
chr8,CH03,18934,linked-read,female,no
chrZ,CH03,14601,linked-read,female,no
chr2,CH04,15542,linked-read,male,no
chr8,CH04,15209,linked-read,male,no
chrZ,CH04,14915,linked-read,male,no
chr2,CH05,19307,linked-read,male,no
chr8,CH05,18232,linked-read,male,no
chrZ,CH05,16423,linked-read,male,no
chr2,CH06,14023,linked-read,male,no
chr8,CH06,13788,linked-read,male,no
chrZ,CH06,12995,linked-read,male,no
chr2,CH07,8781,linked-read,male,no
chr8,CH07,8508,linked-read,male,no
chrZ,CH07,8770,linked-read,male,no
chr2,CH08,10274,linked-read,male,yes
chr2,CH08,575,short-read,male,yes
chr8,CH08,9703,linked-read,male,yes
chr8,CH08,566,short-read,male,yes
chrZ,CH08,9174,linked-read,male,yes
chrZ,CH08,519,short-read,male,yes
chr2,CH09,20275,linked-read,male,no
chr8,CH09,19926,linked-read,male,no
chrZ,CH09,18447,linked-read,male,no
chr2,CH10,24762,linked-read,male,no
chr8,CH10,22591,linked-read,male,no
chrZ,CH10,21192,linked-read,male,no
chr2,CH11,26191,linked-read,female,no
chr8,CH11,24084,linked-read,female,no
chrZ,CH11,13906,linked-read,female,no
chr2,CH12,23710,linked-read,male,no
chr8,CH12,22312,linked-read,male,no
chrZ,CH12,18727,linked-read,male,no
chr2,CH13,13671,linked-read,male,no
chr8,CH13,13169,linked-read,male,no
chrZ,CH13,12910,linked-read,male,no
chr2,CH14,23454,linked-read,female,no
chr8,CH14,21292,linked-read,female,no
chrZ,CH14,14533,linked-read,female,no
chr2,CH15,13616,linked-read,female,no
chr8,CH15,12715,linked-read,female,no
chrZ,CH15,10157,linked-read,female,no
chr2,CH16,14851,linked-read,male,no
chr8,CH16,14286,linked-read,male,no
chrZ,CH16,14501,linked-read,male,no
chr2,CH17,11573,linked-read,male,no
chr8,CH17,11332,linked-read,male,no
chrZ,CH17,10839,linked-read,male,no
chr2,CH18,15369,linked-read,female,no
chr8,CH18,14655,linked-read,female,no
chrZ,CH18,10255,linked-read,female,no
chr2,CH19,23901,linked-read,female,no
chr8,CH19,22797,linked-read,female,no
chrZ,CH19,14480,linked-read,female,no
chr2,CH20,20365,linked-read,male,no
chr8,CH20,20051,linked-read,male,no
chrZ,CH20,18883,linked-read,male,no
chr2,CI01,56453,linked-read,male,no
chr8,CI01,43139,linked-read,male,no
chrZ,CI01,24831,linked-read,male,no
chr2,CI02,21903,linked-read,male,no
chr8,CI02,20023,linked-read,male,no
chrZ,CI02,17446,linked-read,male,no
chr2,CI03,19862,linked-read,female,no
chr8,CI03,18050,linked-read,female,no
chrZ,CI03,10363,linked-read,female,no
chr2,CI04,17167,linked-read,male,no
chr8,CI04,15472,linked-read,male,no
chrZ,CI04,14892,linked-read,male,no
chr2,CI05,14644,linked-read,male,no
chr8,CI05,14424,linked-read,male,no
chrZ,CI05,14131,linked-read,male,no
chr2,CI06,28532,linked-read,female,no
chr8,CI06,24141,linked-read,female,no
chrZ,CI06,14330,linked-read,female,no
chr2,CI07,25056,linked-read,female,no
chr8,CI07,21730,linked-read,female,no
chrZ,CI07,13985,linked-read,female,no
chr2,CI08,23127,linked-read,female,no
chr8,CI08,20069,linked-read,female,no
chrZ,CI08,12563,linked-read,female,no
chr2,CI09,34934,linked-read,male,no
chr8,CI09,29668,linked-read,male,no
chrZ,CI09,22977,linked-read,male,no
chr2,CI10,137393,linked-read,female,no
chr8,CI10,90480,linked-read,female,no
chrZ,CI10,21736,linked-read,female,no
chr2,CI11,27690,linked-read,female,no
chr8,CI11,25865,linked-read,female,no
chrZ,CI11,12620,linked-read,female,no
chr2,CI12,22681,linked-read,male,no
chr8,CI12,21256,linked-read,male,no
chrZ,CI12,18652,linked-read,male,no
chr2,CI13,25489,linked-read,male,no
chr8,CI13,23731,linked-read,male,no
chrZ,CI13,21937,linked-read,male,no
chr2,CI14,25314,linked-read,female,no
chr8,CI14,22128,linked-read,female,no
chrZ,CI14,13432,linked-read,female,no
chr2,CI15,33061,linked-read,female,no
chr8,CI15,30556,linked-read,female,no
chrZ,CI15,16099,linked-read,female,no
chr2,CI16,20195,linked-read,female,no
chr8,CI16,18859,linked-read,female,no
chrZ,CI16,13589,linked-read,female,no
chr2,CI17,18630,linked-read,female,no
chr8,CI17,18359,linked-read,female,no
chrZ,CI17,12986,linked-read,female,no
chr2,CI18,17801,linked-read,female,no
chr8,CI18,17298,linked-read,female,no
chrZ,CI18,12406,linked-read,female,no
chr2,CI19,45347,linked-read,male,no
chr8,CI19,32782,linked-read,male,no
chrZ,CI19,24302,linked-read,male,no
chr2,CI20,31095,linked-read,female,no
chr8,CI20,27442,linked-read,female,no
chrZ,CI20,14486,linked-read,female,no
chr2,CI21,16233,linked-read,male,no
chr8,CI21,15456,linked-read,male,no
chrZ,CI21,14521,linked-read,male,no
chr2,CI22,15611,linked-read,female,no
chr8,CI22,14565,linked-read,female,no
chrZ,CI22,10953,linked-read,female,no
chr2,CI23,27508,linked-read,male,no
chr8,CI23,24718,linked-read,male,no
chrZ,CI23,20787,linked-read,male,no
chr2,CI24,33613,linked-read,female,no
chr8,CI24,26676,linked-read,female,no
chrZ,CI24,15668,linked-read,female,no
chr2,CI25,17289,linked-read,female,no
chr8,CI25,16045,linked-read,female,no
chrZ,CI25,12294,linked-read,female,no
chr2,CI26,37856,linked-read,female,no
chr8,CI26,33839,linked-read,female,no
chrZ,CI26,19658,linked-read,female,no
chr2,CI27,23816,linked-read,male,no
chr8,CI27,21277,linked-read,male,no
chrZ,CI27,19352,linked-read,male,no
chr2,CI28,15082,linked-read,male,no
chr8,CI28,14439,linked-read,male,no
chrZ,CI28,12769,linked-read,male,no
chr2,CI29,26128,linked-read,female,no
chr8,CI29,22684,linked-read,female,no
chrZ,CI29,13328,linked-read,female,no
chr2,CI30,45286,linked-read,male,no
chr8,CI30,41262,linked-read,male,no
chrZ,CI30,31488,linked-read,male,no
chr2,CI31,36927,linked-read,female,no
chr8,CI31,33601,linked-read,female,no
chrZ,CI31,21685,linked-read,female,no
chr2,CI32,17253,linked-read,male,no
chr8,CI32,15811,linked-read,male,no
chrZ,CI32,15664,linked-read,male,no
chr2,CI33,26727,linked-read,female,no
chr8,CI33,25156,linked-read,female,no
chrZ,CI33,15880,linked-read,female,no
chr2,CI34,37175,linked-read,male,no
chr8,CI34,35093,linked-read,male,no
chrZ,CI34,24789,linked-read,male,no
chr2,CI35,28884,linked-read,male,no
chr8,CI35,25452,linked-read,male,no
chrZ,CI35,21472,linked-read,male,no
chr2,CI36,28430,linked-read,female,no
chr8,CI36,23930,linked-read,female,no
chrZ,CI36,13175,linked-read,female,no
chr2,CI37,39645,linked-read,male,no
chr8,CI37,33106,linked-read,male,no
chrZ,CI37,25648,linked-read,male,no
chr2,CI38,19128,linked-read,female,no
chr8,CI38,17056,linked-read,female,no
chrZ,CI38,11462,linked-read,female,no
chr2,CI39,47821,linked-read,male,no
chr8,CI39,32695,linked-read,male,no
chrZ,CI39,23998,linked-read,male,no
chr2,CI40,31051,linked-read,female,no
chr8,CI40,28170,linked-read,female,no
chrZ,CI40,16159,linked-read,female,no
chr2,CI43,17027,linked-read,female,no
chr8,CI43,16171,linked-read,female,no
chrZ,CI43,10893,linked-read,female,no
chr2,CI45,38794,linked-read,female,no
chr8,CI45,34744,linked-read,female,no
chrZ,CI45,22257,linked-read,female,no
chr2,CI46,18034,linked-read,female,no
chr8,CI46,16887,linked-read,female,no
chrZ,CI46,12002,linked-read,female,no
chr2,CI47,29514,linked-read,male,no
chr8,CI47,26834,linked-read,male,no
chrZ,CI47,24009,linked-read,male,no
chr2,CI48,16996,linked-read,male,no
chr8,CI48,16536,linked-read,male,no
chrZ,CI48,15416,linked-read,male,no
chr2,CI49,30617,linked-read,male,no
chr8,CI49,30200,linked-read,male,no
chrZ,CI49,24028,linked-read,male,no
chr2,CI50,20872,linked-read,female,no
chr8,CI50,19199,linked-read,female,no
chrZ,CI50,12948,linked-read,female,no
chr2,CI51,17085,linked-read,male,no
chr8,CI51,16439,linked-read,male,no
chrZ,CI51,16306,linked-read,male,no
chr2,CI52,24429,linked-read,female,no
chr8,CI52,20997,linked-read,female,no
chrZ,CI52,11098,linked-read,female,no
chr2,CI57,23233,linked-read,male,no
chr8,CI57,21684,linked-read,male,no
chrZ,CI57,18387,linked-read,male,no
chr2,CI59,60050,linked-read,male,no
chr8,CI59,38210,linked-read,male,no
chrZ,CI59,25933,linked-read,male,no
chr2,CI62,30045,linked-read,male,no
chr8,CI62,24072,linked-read,male,no
chrZ,CI62,21408,linked-read,male,no
chr2,CI65,32050,linked-read,male,no
chr8,CI65,24228,linked-read,male,no
chrZ,CI65,20819,linked-read,male,no
chr2,CI68,87673,linked-read,male,no
chr8,CI68,48380,linked-read,male,no
chrZ,CI68,31044,linked-read,male,no
chr2,CI71,85493,linked-read,male,no
chr8,CI71,45536,linked-read,male,no
chrZ,CI71,26319,linked-read,male,no
chr2,CI72,22126,linked-read,male,no
chr8,CI72,19915,linked-read,male,no
chrZ,CI72,17192,linked-read,male,no
chr2,CI73,28703,linked-read,male,no
chr8,CI73,24592,linked-read,male,no
chrZ,CI73,22817,linked-read,male,no
chr2,CI74,53014,linked-read,female,no
chr8,CI74,40123,linked-read,female,no
chrZ,CI74,13786,linked-read,female,no
chr2,CI77,35809,linked-read,male,no
chr8,CI77,28163,linked-read,male,no
chrZ,CI77,22473,linked-read,male,no
chr2,CI78,34951,linked-read,male,no
chr8,CI78,24344,linked-read,male,no
chrZ,CI78,21870,linked-read,male,no
chr2,CO01,15932,linked-read,male,no
chr8,CO01,16008,linked-read,male,no
chrZ,CO01,15342,linked-read,male,no
chr2,CO02,52295,linked-read,female,no
chr8,CO02,42085,linked-read,female,no
chrZ,CO02,19005,linked-read,female,no
chr2,CO03,17897,linked-read,male,no
chr8,CO03,17815,linked-read,male,no
chrZ,CO03,15559,linked-read,male,no
chr2,CO04,15814,linked-read,male,no
chr8,CO04,16066,linked-read,male,no
chrZ,CO04,15241,linked-read,male,no
chr2,CO05,15862,linked-read,female,no
chr8,CO05,15645,linked-read,female,no
chrZ,CO05,13330,linked-read,female,no
chr2,CO06,18538,linked-read,female,no
chr8,CO06,17832,linked-read,female,no
chrZ,CO06,12049,linked-read,female,no
chr2,CO07,30664,linked-read,male,no
chr8,CO07,28553,linked-read,male,no
chrZ,CO07,23551,linked-read,male,no
chr2,CO08,14388,linked-read,male,no
chr8,CO08,13998,linked-read,male,no
chrZ,CO08,13645,linked-read,male,no
chr2,CO09,19385,linked-read,male,no
chr8,CO09,18907,linked-read,male,no
chrZ,CO09,17925,linked-read,male,no
chr2,CO10,18894,linked-read,female,no
chr8,CO10,18065,linked-read,female,no
chrZ,CO10,13844,linked-read,female,no
chr2,CO11,15913,linked-read,male,no
chr8,CO11,16218,linked-read,male,no
chrZ,CO11,15584,linked-read,male,no
chr2,CO12,14442,linked-read,male,no
chr8,CO12,14635,linked-read,male,no
chrZ,CO12,14180,linked-read,male,no
chr2,CO13,17296,linked-read,male,no
chr8,CO13,16960,linked-read,male,no
chrZ,CO13,16677,linked-read,male,no
chr2,CO14,15577,linked-read,male,no
chr8,CO14,15480,linked-read,male,no
chrZ,CO14,14709,linked-read,male,no
chr2,CO15,16442,linked-read,female,no
chr8,CO15,16318,linked-read,female,no
chrZ,CO15,12751,linked-read,female,no
chr2,CO16,13334,linked-read,male,no
chr8,CO16,13326,linked-read,male,no
chrZ,CO16,12914,linked-read,male,no
chr2,CO17,16999,linked-read,male,no
chr8,CO17,16142,linked-read,male,no
chrZ,CO17,17000,linked-read,male,no
chr2,CO18,16702,linked-read,female,no
chr8,CO18,16836,linked-read,female,no
chrZ,CO18,13191,linked-read,female,no
chr2,CO19,16049,linked-read,female,no
chr8,CO19,15851,linked-read,female,no
chrZ,CO19,12703,linked-read,female,no
chr2,CO20,14124,linked-read,female,no
chr8,CO20,13734,linked-read,female,no
chrZ,CO20,11945,linked-read,female,no
chr2,CO21,15985,linked-read,male,no
chr8,CO21,16466,linked-read,male,no
chrZ,CO21,15027,linked-read,male,no
chr2,CO22,16620,linked-read,male,no
chr8,CO22,16879,linked-read,male,no
chrZ,CO22,15672,linked-read,male,no
chr2,CO23,18986,linked-read,male,no
chr8,CO23,18400,linked-read,male,no
chrZ,CO23,17090,linked-read,male,no
chr2,DD01,123255,linked-read,male,no
chr8,DD01,92610,linked-read,male,no
chrZ,DD01,32212,linked-read,male,no
chr2,EB01,22534,linked-read,female,no
chr8,EB01,20442,linked-read,female,no
chrZ,EB01,14307,linked-read,female,no
chr2,EB02,42917,linked-read,female,no
chr8,EB02,31886,linked-read,female,no
chrZ,EB02,16132,linked-read,female,no
chr2,EB03,12827,linked-read,female,no
chr8,EB03,12435,linked-read,female,no
chrZ,EB03,10241,linked-read,female,no
chr2,EB04,23593,linked-read,male,no
chr8,EB04,20931,linked-read,male,no
chrZ,EB04,21207,linked-read,male,no
chr2,EB05,23510,linked-read,female,no
chr8,EB05,20318,linked-read,female,no
chrZ,EB05,12485,linked-read,female,no
chr2,EB06,39939,linked-read,male,no
chr8,EB06,34430,linked-read,male,no
chrZ,EB06,27037,linked-read,male,no
chr2,EB07,18390,linked-read,male,no
chr8,EB07,17472,linked-read,male,no
chrZ,EB07,16430,linked-read,male,no
chr2,EB08,33304,linked-read,female,no
chr8,EB08,28694,linked-read,female,no
chrZ,EB08,16998,linked-read,female,no
chr2,EB09,21861,linked-read,male,no
chr8,EB09,20286,linked-read,male,no
chrZ,EB09,18381,linked-read,male,no
chr2,EB10,18611,linked-read,male,no
chr8,EB10,17104,linked-read,male,no
chrZ,EB10,16172,linked-read,male,no
chr2,EB11,23462,linked-read,female,no
chr8,EB11,20229,linked-read,female,no
chrZ,EB11,12628,linked-read,female,no
chr2,EB12,20955,linked-read,male,no
chr8,EB12,18680,linked-read,male,no
chrZ,EB12,16803,linked-read,male,no
chr2,EB13,21710,linked-read,male,no
chr8,EB13,19500,linked-read,male,no
chrZ,EB13,19286,linked-read,male,no
chr2,EB14,22002,linked-read,male,no
chr8,EB14,19807,linked-read,male,no
chrZ,EB14,19158,linked-read,male,no
chr2,EB15,10868,linked-read,male,no
chr8,EB15,10374,linked-read,male,no
chrZ,EB15,10878,linked-read,male,no
chr2,EB16,16795,linked-read,male,no
chr8,EB16,15470,linked-read,male,no
chrZ,EB16,15544,linked-read,male,no
chr2,EL01,13706,linked-read,male,no
chr8,EL01,15150,linked-read,male,no
chrZ,EL01,14388,linked-read,male,no
chr2,EL02,15586,linked-read,female,no
chr8,EL02,16745,linked-read,female,no
chrZ,EL02,11954,linked-read,female,no
chr2,EL03,14459,linked-read,male,no
chr8,EL03,14674,linked-read,male,no
chrZ,EL03,14378,linked-read,male,no
chr2,EL04,13696,linked-read,female,no
chr8,EL04,13729,linked-read,female,no
chrZ,EL04,11153,linked-read,female,no
chr2,EL05,14656,linked-read,male,no
chr8,EL05,15364,linked-read,male,no
chrZ,EL05,14617,linked-read,male,no
chr2,EL06,12369,linked-read,female,no
chr8,EL06,13499,linked-read,female,no
chrZ,EL06,9683,linked-read,female,no
chr2,EL07,16986,linked-read,female,no
chr8,EL07,17134,linked-read,female,no
chrZ,EL07,13642,linked-read,female,no
chr2,EL08,15500,linked-read,female,no
chr8,EL08,15609,linked-read,female,no
chrZ,EL08,11981,linked-read,female,no
chr2,EL09,17771,linked-read,male,no
chr8,EL09,17272,linked-read,male,no
chrZ,EL09,17172,linked-read,male,no
chr2,EL10,21848,linked-read,male,no
chr8,EL10,21218,linked-read,male,no
chrZ,EL10,19419,linked-read,male,no
chr2,EQ01,10496,linked-read,male,no
chr8,EQ01,9934,linked-read,male,no
chrZ,EQ01,9725,linked-read,male,no
chr2,EQ02,12140,linked-read,male,no
chr8,EQ02,11740,linked-read,male,no
chrZ,EQ02,10375,linked-read,male,no
chr2,EQ03,14767,linked-read,male,no
chr8,EQ03,13886,linked-read,male,no
chrZ,EQ03,12383,linked-read,male,no
chr2,EQ04,12634,linked-read,male,no
chr8,EQ04,11877,linked-read,male,no
chrZ,EQ04,11043,linked-read,male,no
chr2,EQ05,14392,linked-read,female,no
chr8,EQ05,13291,linked-read,female,no
chrZ,EQ05,6843,linked-read,female,no
chr2,EQ06,10721,linked-read,female,no
chr8,EQ06,10072,linked-read,female,no
chrZ,EQ06,5385,linked-read,female,no
chr2,EQ07,13079,linked-read,female,no
chr8,EQ07,12778,linked-read,female,no
chrZ,EQ07,6153,linked-read,female,no
chr2,EQ08,13917,linked-read,male,no
chr8,EQ08,13290,linked-read,male,no
chrZ,EQ08,12867,linked-read,male,no
chr2,EQ09,11360,linked-read,male,no
chr8,EQ09,11323,linked-read,male,no
chrZ,EQ09,10658,linked-read,male,no
chr2,EQ10,28470,linked-read,male,no
